zhao_od_ID:1, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2761, -152), P2(-2761, -152), HeightProb:80, HeightStatus:1, Dist:1840, PosDeDis1:1948, l_TrainResult:0, probability:2611
zhao_od_ID:1, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2773, -210), P2(-2773, -210), HeightProb:80, HeightStatus:1, Dist:1790, PosDeDis1:1879, l_TrainResult:0, probability:2210
zhao_od_ID:1, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2755, -167), P2(-2755, -167), HeightProb:80, HeightStatus:1, Dist:1827, PosDeDis1:1804, l_TrainResult:0, probability:3015
zhao_od_ID:1, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2623, -158), P2(-2623, -158), HeightProb:80, HeightStatus:1, Dist:1701, PosDeDis1:1729, l_TrainResult:0, probability:3230
zhao_od_ID:2, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2612, 250), P2(-2612, 250), HeightProb:80, HeightStatus:1, Dist:1659, PosDeDis1:1729, l_TrainResult:0, probability:3230
zhao_od_ID:1, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2549, -197), P2(-2549, -197), HeightProb:80, HeightStatus:1, Dist:1616, PosDeDis1:1768, l_TrainResult:0, probability:3318
zhao_od_ID:2, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2422, 273), P2(-2422, 273), HeightProb:80, HeightStatus:1, Dist:1501, PosDeDis1:1768, l_TrainResult:0, probability:3318
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2341, -376), P2(-2343, 273), HeightProb:80, HeightStatus:1, Dist:1403, PosDeDis1:1532, l_TrainResult:0, probability:3407
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2305, -376), P2(-2305, 273), HeightProb:80, HeightStatus:1, Dist:1382, PosDeDis1:1398, l_TrainResult:0, probability:2769
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2256, -376), P2(-2258, 273), HeightProb:80, HeightStatus:1, Dist:1311, PosDeDis1:1354, l_TrainResult:0, probability:3870
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2220, -376), P2(-2222, 273), HeightProb:80, HeightStatus:1, Dist:1285, PosDeDis1:1332, l_TrainResult:0, probability:1493
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2160, -376), P2(-2162, 273), HeightProb:80, HeightStatus:1, Dist:1225, PosDeDis1:1278, l_TrainResult:0, probability:4256
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2091, -376), P2(-2093, 273), HeightProb:80, HeightStatus:1, Dist:1154, PosDeDis1:1241, l_TrainResult:0, probability:4354
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2067, -376), P2(-2069, 273), HeightProb:80, HeightStatus:1, Dist:1120, PosDeDis1:1192, l_TrainResult:0, probability:3917
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2069, 301), P2(-2067, -376), HeightProb:80, HeightStatus:1, Dist:1120, PosDeDis1:1192, l_TrainResult:0, probability:3100
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2028, 377), P2(-2019, -376), HeightProb:80, HeightStatus:1, Dist:1097, PosDeDis1:1264, l_TrainResult:0, probability:4110
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-2005, 377), P2(-1996, -376), HeightProb:80, HeightStatus:1, Dist:1052, PosDeDis1:1116, l_TrainResult:0, probability:2351
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-1966, 377), P2(-1957, -376), HeightProb:80, HeightStatus:1, Dist:1028, PosDeDis1:1073, l_TrainResult:0, probability:3917
zhao_od_ID:3, ObjName:15cm草丛curb, HeightLabel:0, OdDir:2, P1(-1966, 377), P2(-1957, -376), HeightProb:80, HeightStatus:1, Dist:1028, PosDeDis1:1073, l_TrainResult:0, probability:3186
