Train_OD_Project,ObjName,HeightLabel,Direction,Sensor1,Sensor2,Obj_ID,CurCyc,PosDeDis1,PosDeAmp1,PosCeDis1,PosCeAmp1,TrainObjDist,AvgDeEchoHigh_SameTx,AvgCeEchoHigh_SameTxRx,OdoDiffObjDis,OdoDiffDeDis,OdoDiff,ObjDiff,CosAngle,RateOfVhoDeDiff,TxSensID
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,3,3181,35,3188,0,3126,36,36,27,27,95,68,9814,7500,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,4,3120,35,3124,0,3054,36,36,74,74,167,93,9807,11803,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,5,3090,36,3092,0,3030,36,36,26,26,191,165,9800,8000,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,6,3058,36,3065,0,2995,36,36,37,37,226,189,9803,10937,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,7,3024,34,3029,0,2959,36,36,38,38,262,224,9797,10588,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,8,2989,35,2995,0,2923,35,35,38,38,298,260,9796,10285,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2959,36,2963,0,2889,35,35,37,37,333,296,9793,11666,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2924,37,2931,0,2865,35,35,25,25,321,296,9793,6857,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2889,39,2897,0,2819,35,35,48,48,334,286,9792,13714,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2854,34,2865,0,2795,35,35,27,27,334,307,9798,6857,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2821,34,2826,0,2750,35,35,50,50,309,259,9791,14242,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2782,38,2792,0,2715,35,35,41,41,321,280,9795,9230,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2745,34,2754,0,2680,35,35,42,42,322,280,9794,9729,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2706,35,2715,0,2644,35,35,43,43,322,279,9792,9230,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2669,33,2675,0,2598,35,35,54,54,333,279,9785,12702,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2626,33,2631,30,2562,35,35,43,43,334,291,9781,8372,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2584,37,2647,29,2517,35,35,55,55,358,303,9816,11428,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2584,37,2594,34,2518,35,35,8,8,310,302,9810,0,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2540,33,2553,30,2482,35,34,56,56,333,277,9808,10681,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2496,35,2556,28,2446,34,34,54,54,322,268,9825,8181,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2496,35,2508,33,2445,35,36,17,17,286,269,9818,0,9
Train_OD_HY11,17cm草丛curb,0,rm,9,10,1,9,2452,31,2515,30,2397,34,34,63,63,298,235,9833,10909,9
