Train_OD_Project,ObjName,HeightLabel,Direction,Obj_ID,CurCyc,PosDeDis1,PosDeAmp1,PosDeDis2,PosDeAmp2,PosCeDis1,PosCeAmp1,PosCeDis2,PosCeAmp2,TrainObjDist,AvgDeEchoHigh_SameTx,AvgCeEchoHigh_SameTxRx,OdoDiffObjDis,OdoDiffDeDis,OdoDiff,ObjDiff,CosAngle,RateOfVhoDeDiff,AngleDist,TxSensID
Train_OD_HY11,路沿13cm2mid,0,front,2,3,2291,426,0,0,5100,0,0,0,2111,341,341,65,65,202,137,7933,9516,1390,5
Train_OD_HY11,路沿13cm2mid,0,front,1,3,2104,570,0,0,5100,0,0,0,2056,463,463,61,61,191,130,9875,12413,327,3
Train_OD_HY11,路沿13cm2mid,0,front,1,4,2060,620,0,0,5100,0,0,0,1984,490,490,61,61,262,201,9294,0,772,4
Train_OD_HY11,路沿13cm2mid,0,front,2,4,2180,363,0,0,5100,0,0,0,2004,362,362,114,114,309,195,7946,9639,1320,5
Train_OD_HY11,路沿13cm2mid,0,front,2,5,2004,485,0,0,5100,0,0,0,1959,362,362,13,24,286,273,10000,9500,336,3
Train_OD_HY11,路沿13cm2mid,0,front,2,6,2008,939,0,0,5100,0,0,0,1935,489,489,12,12,310,298,10000,9230,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,7,2008,939,0,0,5100,0,0,0,1935,779,779,-12,-1,310,322,10000,0,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,8,2140,370,0,0,5100,0,0,0,1913,832,779,12,23,334,322,10000,0,1541,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1949,902,0,0,5100,0,0,0,1888,832,779,14,24,358,344,10000,8135,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1902,656,0,0,5100,0,0,0,1864,850,920,11,23,309,298,10000,9313,288,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1902,656,0,0,5100,0,0,0,1863,549,920,-1,-1,262,263,10000,0,288,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1908,1248,0,0,5100,0,0,0,1839,591,570,21,21,214,193,10000,11463,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,2035,579,0,0,5100,0,0,0,1823,929,935,22,22,167,145,10000,9047,1365,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1867,1304,0,0,5100,0,0,0,1823,474,474,7,5,143,136,10000,13714,134,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1867,1304,0,0,5100,0,0,0,1823,872,980,7,7,119,112,10000,0,134,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1861,1045,0,0,5100,0,0,0,1799,980,980,31,31,143,112,10000,10212,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1996,658,0,0,5100,0,0,0,1777,1065,1146,29,30,143,114,10000,12307,1271,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1825,1612,0,0,5100,0,0,0,1777,618,618,8,2,119,111,10000,11428,42,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1825,1612,0,0,5100,0,0,0,1777,1106,1190,9,9,96,87,10000,0,42,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1810,485,0,0,5100,0,0,0,1753,1297,1190,34,34,120,86,10000,9411,1,4
